filename,runtime_seconds,count
bt-3x5_11.ig.cnf,.863402360,0
L2-telatko24.cnf,4.764844760,0
hein_13_5x5-07.pg.cnf,2.822460491,0
test3_quant_squaring2.cnf,.068588692,0
bt2nd-2x4_8.ig.cnf,.311611796,0
test4_quant_squaring2.cnf,.098371827,0
nusmv.tcas^3.B-f2.cnf,8.002444058,0
hein_18_7x7-09.pg.cnf,2.542309512,0
connect-5x5_9_connect3.ig.cnf,.682662062,0
bt-3x6_9.ig.cnf,.623617635,0
hein_19_5x5-11.pg.cnf,37.549847019,0
Umbrella_tbm_05.tex.module.000039.cnf,15.476415147,0
hein_09_4x4-07.pg.cnf,1.766411904,0
Adder2-8-s.cnf,11.985947180,0
hein_03_6x6-11.pg.cnf,61.445629837,0
sc-ungrounded-1x2X2x2_1.cnf,60.092449116,0
hein_02_5x5-11.pg.cnf,78.263586727,0
Adder2-14-s.cnf,99.842949513,0
hein_16_5x5-11.pg.cnf,100.721819881,0
sortnetsort9.v.stepl.005.cnf,1.533715852,0
adder-12-unsat.cnf,51.130024065,0
small-seq-fixpoint-3.cnf,20.265484757,0
amba2f9n.sat.cnf,4.735288881,1
bt2nd-2x6_14.ig.cnf,.942574608,0
add5_COMPLETE.cnf,12.581279292,0
C5315.blif_0.10_0.20_0_0_inp_exact.cnf,5.327702159,0
IssueServiceImpl.cnf,6.564222310,0
stmt32_329_378.cnf,5.014153699,0
GuidanceService.cnf,5.721037314,0
L3-telatko15.cnf,1.662309811,0
unit11_3_b.cnf,11.503342724,0
W4-Umbrella_tbm_26.tex.moduleQ3.7S.000003.cnf,18.234722559,0
stmt39_285_335.cnf,4.181660709,0
test2_quant3.cnf,11.579636051,0
W5-Umbrella_tbm_26.tex.moduleQ3.7S.000003.cnf,15.249801457,0
L3-telatko31.cnf,1.353466111,0
stmt19_64_99.cnf,12.078986594,0
stmt17_70_98.cnf,13.464952114,0
stmt17_63_82.cnf,8.059510018,0
PhaseService.cnf,8.876781955,0
NotificationServiceImpl2.cnf,22.180598740,0
load_2c_comp_comp7_REAL.sat.cnf,25.470409737,0
neclaftp4001.cnf,35.226671150,0
L1-telatko21.cnf,23.993594237,0
L1-telatko4.cnf,20.422140713,0
intermediate256.cnf,5.547896090,0
L1-telatko13.cnf,30.715411531,0
pi-bus-fixpoint-1.cnf,61.333073963,0
kmdf_pcidrv_sys_hw_physet.c.cnf,41.319597005,0
stmt21_319_418.cnf,4.843470642,0
hein_14_5x5-07.pg.cnf,1.457850055,0
arbiter-06-comp-error01-qbf-hardness-depth-15.cnf,79.093505935,0
C6288.blif_0.10_0.20_0_0_inp_exact.cnf,114.268495167,0
gttt_2_1_00102030_4x4_torus_b.cnf,155.643562302,0
sc-ungrounded-1x2X2x3_1.cnf,179.555712453,0
sortnetsort10.AE.stepl.006.cnf,199.118928741,0
gttt_1_1_000111_4x4_torus_b.cnf,180.050665024,0
unit8_2_b.cnf,6.883823831,0
sortnetsort9.AE.stepl.008.cnf,224.961349462,0
gttt_1_1_000111_4x4_torus_w.cnf,119.486233704,0
ldomino-20-winB-false-end.qcnf.cnf,295.230939553,0
L3-telatko13.cnf,85.857757403,0
sortnetsort10.AE.stepl.008.cnf,421.878544059,0
hein_05_6x6-09.pg.cnf,4.592581999,0
C6288.blif_0.10_0.20_0_1_out_exact.cnf,89.459366638,0
nusmv.tcas^2.B-f2.cnf,8.249946246,0
sc-ungrounded-1x3X3x2_1.cnf,214.002894295,0
add6_COMPLETE.cnf,16.405906092,0
sc-ungrounded-1x1X1x3_2.cnf,29.954755894,1
Adder2-16-s.cnf,175.811710565,0
amba4b9y.unsat.cnf,487.447194063,0
hein_11_5x5-11.pg.cnf,59.986012729,0
IterationService.cnf,8.909360402,0
ldomino-18-winA-true-end.qcnf.cnf,131.649604338,0
Core1108_tbm_21.tex.module.000008.cnf,1.445692168,0
bt2nd-2x5_10.ig.cnf,.554244542,0
add7_COMPLETE.cnf,22.278041075,0
hein_17_6x6-13.pg.cnf,720.003303855,TIMED OUT
5-5-3-4-3-49-EdAd.cnf,720.002855565,TIMED OUT
mult_bool_matrix_10_9_11.unsat.cnf,720.002927901,TIMED OUT
ldomino-15-winB-true-end.qcnf.cnf,720.002968449,TIMED OUT
L2-telatko16.cnf,720.003240404,TIMED OUT
texas.PI_main^05.E-f3.cnf,720.002958243,TIMED OUT
5-5-3-6-3-28-EdAd.cnf,720.003044692,TIMED OUT
5-5-4-4-3-70-EuAd.cnf,720.002642510,TIMED OUT
C6288.blif_0.10_1.00_0_0_inp_exact.cnf,720.004486038,TIMED OUT
L3-telatko4.cnf,720.003496759,TIMED OUT
5-5-6-4-3-9-EuAd.cnf,720.002738803,TIMED OUT
sat18_problem15_length_3.cnf,720.002993586,TIMED OUT
ldomino-18-winB-false-end.qcnf.cnf,720.002855837,TIMED OUT
cycle_sched_2_10_1.sat.cnf,3.652176034,0
ldomino-23-winA-true-end.qcnf.cnf,720.003198356,TIMED OUT
k_ph_p-11.cnf,720.003052391,TIMED OUT
stmt21_310_360.cnf,4.695523864,0
C5315.blif_0.10_0.20_0_1_out_exact.cnf,5.218048933,0
stmt21_181_369.cnf,2.862870998,0
ProjectService3.cnf,20.617719908,0
add6_REDUCED.cnf,16.259867385,0
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-007.cnf,33.155490157,0
eequery_query42_1344n.cnf,99.646304136,0
W5-Umbrella_tbm_25.tex.moduleQ3.7S.000003.cnf,149.723295882,0
stmt28_68_81.cnf,8.918640155,0
sc-ungrounded-2x1X1x2_1.cnf,63.187506732,0
sc-ungrounded-2x1X1x3_1.cnf,198.657311114,0
cycle_sched_4_4_2.sat.cnf,139.499645104,0
