filename,runtime_seconds,count
bt-3x5_11.ig.cnf,1.007482893,ERROR_NO_COUNT
L2-telatko24.cnf,.361676110,ERROR_NO_COUNT
hein_13_5x5-07.pg.cnf,.360382080,ERROR_NO_COUNT
test3_quant_squaring2.cnf,.216719865,ERROR_NO_COUNT
bt2nd-2x4_8.ig.cnf,.458917468,ERROR_NO_COUNT
test4_quant_squaring2.cnf,.238581437,ERROR_NO_COUNT
nusmv.tcas^3.B-f2.cnf,8.137621365,ERROR_NO_COUNT
hein_18_7x7-09.pg.cnf,.435558659,ERROR_NO_COUNT
connect-5x5_9_connect3.ig.cnf,.845383807,ERROR_NO_COUNT
bt-3x6_9.ig.cnf,.760357507,ERROR_NO_COUNT
hein_19_5x5-11.pg.cnf,1.234349110,ERROR_NO_COUNT
hein_09_4x4-07.pg.cnf,.304629991,ERROR_NO_COUNT
hein_03_6x6-11.pg.cnf,20.054444629,ERROR_NO_COUNT
sc-ungrounded-1x2X2x2_1.cnf,4.883454675,ERROR_NO_COUNT
Adder2-8-s.cnf,188.163834770,ERROR_NO_COUNT
hein_02_5x5-11.pg.cnf,3.046025203,ERROR_NO_COUNT
hein_16_5x5-11.pg.cnf,3.330050778,ERROR_NO_COUNT
sortnetsort9.v.stepl.005.cnf,1.669021008,ERROR_NO_COUNT
small-seq-fixpoint-3.cnf,20.381966961,ERROR_NO_COUNT
amba2f9n.sat.cnf,4.598137092,ERROR_NO_COUNT
bt2nd-2x6_14.ig.cnf,1.069773568,ERROR_NO_COUNT
add5_COMPLETE.cnf,.880040025,ERROR_NO_COUNT
adder-12-unsat.cnf,273.608084340,ERROR_NO_COUNT
C5315.blif_0.10_0.20_0_0_inp_exact.cnf,5.477154091,ERROR_NO_COUNT
IssueServiceImpl.cnf,6.687354119,ERROR_NO_COUNT
stmt32_329_378.cnf,5.156788533,ERROR_NO_COUNT
L3-telatko15.cnf,1.798752283,ERROR_NO_COUNT
GuidanceService.cnf,5.850746384,ERROR_NO_COUNT
unit11_3_b.cnf,11.579007373,ERROR_NO_COUNT
stmt39_285_335.cnf,4.320246878,ERROR_NO_COUNT
L3-telatko31.cnf,1.493859561,ERROR_NO_COUNT
test2_quant3.cnf,11.705850804,ERROR_NO_COUNT
stmt17_63_82.cnf,8.172952987,ERROR_NO_COUNT
stmt19_64_99.cnf,12.042985036,ERROR_NO_COUNT
stmt17_70_98.cnf,13.575557535,ERROR_NO_COUNT
PhaseService.cnf,9.100373922,ERROR_NO_COUNT
Umbrella_tbm_05.tex.module.000039.cnf,720.045084907,TIMED OUT
L1-telatko21.cnf,1.474794514,ERROR_NO_COUNT
NotificationServiceImpl2.cnf,22.317630248,ERROR_NO_COUNT
load_2c_comp_comp7_REAL.sat.cnf,25.471683453,ERROR_NO_COUNT
L1-telatko4.cnf,1.612521659,ERROR_NO_COUNT
L1-telatko13.cnf,1.838992990,ERROR_NO_COUNT
neclaftp4001.cnf,35.453162745,ERROR_NO_COUNT
stmt21_319_418.cnf,4.982153875,ERROR_NO_COUNT
kmdf_pcidrv_sys_hw_physet.c.cnf,41.237076692,ERROR_NO_COUNT
