filename,runtime_seconds,count
hein_14_5x5-07.pg.cnf,2.206858569,7767360
hein_09_4x4-07.pg.cnf,2.180459635,2499840
test4_quant_squaring2.cnf,3.728250069,421249117195886152452976193669794817322304290639632803807191105536
test3_quant_squaring2.cnf,4.606236177,178405624345967874865963859311185061037998080
hein_18_7x7-09.pg.cnf,3.301207003,6862060800
hein_13_5x5-07.pg.cnf,3.280275568,27230400
bt2nd-2x4_8.ig.cnf,8.585652997,500060523353323378130632
hein_05_6x6-09.pg.cnf,5.786034381,1449907200
bt-3x6_9.ig.cnf,15.607444866,24771469705673651029266670923664
connect-5x5_9_connect3.ig.cnf,25.574606292,7354391653731093732780786512926703616
bt-3x5_11.ig.cnf,21.523827895,168607865713906718992210574227791565298
L2-telatko24.cnf,31.600859583,37228237500337991145446279514928122429440
nusmv.tcas^3.B-f2.cnf,23.192680595,176598051357366751273326787141096552526262817924353204757818082694834253402675762701728224549291879665758471948989269797451488028728443732745556852736000
nusmv.tcas^2.B-f2.cnf,27.319272283,126034440219988606077926441599334775159074031519620159703386978437789285015259807180903514588377702640096871080828940896536124296390721071329837056000
add5_COMPLETE.cnf,44.883074418,33219172045907791492369998379458176871817344332843180547576447435253718281751027307801111179823681435539740467248717136458560328171520
sc-ungrounded-1x1X1x3_2.cnf,23.008370806,5682498555
bt2nd-2x5_10.ig.cnf,19.565123883,872227400591513994569392913780904
add6_REDUCED.cnf,41.012373571,2109995069174506007163166678978683287244550593491052553142928118072404920725486148737067681302324268378353033124939092700672353354558178934221726168383488000000
hein_19_5x5-11.pg.cnf,67.619501310,1540022964480
amba2c7n.sat.cnf,6.705954534,9270276341103985283213
sortnetsort9.v.stepl.005.cnf,78.393555093,2842925350590353947526416228423870088890614935310542590198177756415169050534397330340922261504
add6_COMPLETE.cnf,128.399147409,3763255916018927733267919777086267290784039246055230651625926193234773402489812999135670402978968945106027256150529276085884015680549770735608582332305753189122048
sc-ungrounded-1x2X2x2_1.cnf,49.355605065,5657039664
hein_03_6x6-11.pg.cnf,61.128904866,12580482297600
sc-ungrounded-2x1X1x2_1.cnf,47.791731786,5657039664
hein_11_5x5-11.pg.cnf,96.411571638,154401231885120
bt-2x6_15.ig.cnf,32.951291411,111813012812912356082300642473412840159092531592
hein_02_5x5-11.pg.cnf,113.677844812,168159864222720
hein_16_5x5-11.pg.cnf,106.711135491,213874418125440
bt2nd-2x6_14.ig.cnf,33.558301222,3777031566552311673001776591751381798063723912
amba2f9n.sat.cnf,57.465100259,599359302357818356262809
Adder2-8-s.cnf,263.649584135,ERROR_NO_COUNT
stmt17_63_82.cnf,66.701041018,655557538711466343289653197083242980455994161655794770880016432248698928938375493707696198565659866850846540768737337329563571948883914941806311310788351247569112122572780644024137026497484844309341591486595072
stmt17_62_98.cnf,62.958320197,29320774374225721189823860112904486146312217829853985246070507216688340853367667106115017645435052704388989056810060361178856552795927673564015665121520977211231780418619262325517954966930216857870033012776224767389020926297698722551677698595686243631104
stmt23_72_76.cnf,53.018372357,649676841925664089123734239194859792651910390598429936166460108351717682878777279555696263046890920151675997334030987361348645169053354626723412661993455664352608528340695826726613885989079663680448909249871872
stmt17_70_90.cnf,69.622425896,54583665869910734269132144073069447579227502020908806679787194661181806606689465586499162984898673264475601584055015545369553138051257916533336514487849899264410190576426862763685202669640877503111307363677350306738544606620022093662756265787392
stmt19_64_99.cnf,105.686455506,54614200193357651171563220020526669987645058871031285072648773576095932149347739637796741061897822575574655555523311880405864482998657867092503810109054936408980846852756420952925087034854056061263927025273118606923022036065833624041462895214592
test3_quant2.cnf,5.044952801,178405624345967874865963859311185061037998080
stmt28_68_81.cnf,113.657142487,351949563416415526374644446972083128169989211626140135801405979228101014190707177865875094499324214187743545201366945716482139312488052479057389682889515702830272230174512470315069964947488458686375558827471060141604864
intermediate256.cnf,71.815636539,1035012061533805956765986325641668370171257344744464407426034692017367301790944739836445491079963466683654898823675674202422238149498656717183635044754267776228514241066103461508233581678833366471893063467725512668765426591803113472
sortnetsort9.v.stepl.007.cnf,212.757795863,20646023803648075594215022909485530713486345261830495729604311103333512703550638975670629016867149504480523617462778858476648005632
L3-telatko42.cnf,194.516814144,95922405611016004752826102472593866099346827416551240109517617233920
L2-telatko34.cnf,180.415688310,47961202805508002376413051236296933049673413708275620054758808616960
browne_5x5_07.pg.cnf,3.035195498,59639040
